      LAT       LONG    BASE   AMP  FUZZ
========================================
44.262804  -72.571794  13.80  3.60  0.57 (Montpelier)
44.369674  -73.128298  16.25  4.55  0.81 (St. George)
44.503822  -72.997838  14.75  4.85  0.25 (Jericho)
44.341504  -72.759281  15.00  3.65  0.74 (Waterbury)
44.197562  -72.501801  14.05  4.05  0.61 (Barre)
44.227246  -73.057001  13.75  3.75  2.45 (Starksboro)
44.304621  -72.908188  12.20  6.10  1.07 (Camel's Hump State Park)
44.376567  -72.718479  14.50  3.85  0.91 (Waterbury Center)
44.476514  -73.213548  17.55  4.20  0.48 (Burlington)
44.405256  -72.992895  15.80  3.50  0.52 (Richmond)
